,team,rating
0,Alabama,29.823739297336626
1,Washington,23.79985962688762
2,Clemson,22.421885137084484
3,Michigan,20.478782400703363
4,Ohio State,19.815706668202207
5,LSU,18.716980294345046
6,USC,17.851467849742377
7,Florida State,16.17974412553942
8,Penn State,15.960396253750341
9,Wisconsin,15.846065980959652
10,Miami,15.837714148789201
11,Oklahoma,15.36689971942038
12,Auburn,14.13801684989078
13,Louisville,13.923166553728766
14,Washington State,13.5659205937318
15,Colorado,13.511905871623199
16,Virginia Tech,12.552710851332392
17,Stanford,12.509616220941234
18,Western Michigan,12.194264622126108
19,Oklahoma State,11.688576822739554
20,Florida,11.61231445126256
21,Tennessee,10.428815423428828
22,Texas A&M,10.069258328227837
23,North Carolina,10.054083290408062
24,Iowa,9.684032775760215
25,Pittsburgh,9.337629285430225
26,West Virginia,9.210787145737974
27,Northwestern,8.776069791695368
28,Kansas State,8.742604682836092
29,Utah,8.586074237092461
30,Minnesota,8.566558017605784
31,Western Kentucky,8.384474033786292
32,NC State,7.66398503573579
33,Temple,7.410246119318382
34,South Florida,7.081128481135666
35,Georgia Tech,6.764087446607313
36,Appalachian State,6.681882250710182
37,BYU,6.563745760339826
38,Nebraska,6.4479118200271515
39,Boise State,6.178615431199266
40,Ole Miss,5.363286388862174
41,Notre Dame,5.308311570212371
42,Tulsa,5.240289144990362
43,Toledo,5.175856144109025
44,San Diego State,5.128168735821431
45,Houston,4.625536660734816
46,Georgia,4.310670803380069
47,Baylor,3.3637216808540416
48,Arkansas,3.3094001389139054
49,TCU,2.933059877417487
50,UCLA,2.825061712995039
51,Mississippi State,2.682096021706001
52,Memphis,2.46039755407734
53,Troy,2.220384968859853
54,California,2.214675275252147
55,Vanderbilt,2.1141853675535494
56,Texas,1.9509002988512132
57,Oregon,1.8652087242638322
58,Air Force,1.7218644368825144
59,Oregon State,1.3724457025088308
60,Louisiana Tech,1.3241271008711621
61,Navy,1.3033565250115007
62,Colorado State,1.0910203688994329
63,Texas Tech,0.9931031835061164
64,Indiana,0.4349657881118689
65,Kentucky,0.22880101757712956
66,Wake Forest,-0.08155027411794735
67,Michigan State,-0.3918150841980671
68,Arkansas State,-0.5337591445872971
69,Boston College,-0.6504305414482615
70,Maryland,-0.8126507497609496
71,Wyoming,-1.2594938683734236
72,Duke,-1.3399452118364268
73,UCF,-1.396865576050074
74,Iowa State,-2.099781559570011
75,Idaho,-2.5736415290914123
76,South Carolina,-2.7333627822437494
77,Northern Illinois,-2.893557597901351
78,Arizona State,-2.9526649454087
79,Old Dominion,-3.24289561414753
80,Ohio,-3.2553232628715287
81,Missouri,-4.207003061146311
82,Arizona,-4.526592983995239
83,New Mexico,-4.554226280167714
84,Army,-4.821703708790499
85,Virginia,-5.389916285495973
86,Syracuse,-6.047435565670744
87,Miami (OH),-6.247407521009082
88,UT San Antonio,-6.66599849059508
89,Georgia Southern,-6.808338503486671
90,SMU,-7.03606858247755
91,Eastern Michigan,-7.391764336066461
92,Central Michigan,-7.443812508050072
93,Southern Mississippi,-7.673557711946504
94,Louisiana,-7.968234629057003
95,Utah State,-8.35650881429993
96,Middle Tennessee,-8.583861196498285
97,South Alabama,-8.853757923735602
98,Kent State,-8.974305399002386
99,Akron,-9.149528898893982
100,Rutgers,-9.349979164458176
101,Hawai'i,-9.425955454401349
102,Tulane,-9.763164735692184
103,Illinois,-9.831380225934572
104,Ball State,-10.607351074103876
105,Bowling Green,-11.314634351697121
106,Purdue,-11.45115693590972
107,Cincinnati,-11.665583229862314
108,East Carolina,-12.848957769101872
109,Nevada,-12.869112517359518
110,Georgia State,-12.971897765844094
111,UNLV,-13.865111354115275
112,Kansas,-14.10409580518194
113,North Texas,-15.202367945998537
114,San José State,-15.42718753721128
115,UMass,-15.693547588032875
116,Louisiana Monroe,-15.988440153553395
117,New Mexico State,-16.299539598741596
118,Connecticut,-16.758371447011005
119,Charlotte,-17.5998139397324
120,Florida International,-17.715882643467854
121,Florida Atlantic,-17.970789718910822
122,Marshall,-18.22667525424096
123,Fresno State,-18.73988772969613
124,Rice,-18.959941044230064
125,UTEP,-19.20705900700965
126,Buffalo,-20.417190022813777
127,Texas State,-24.795784733138873
